Externe Nr;Kurzname;X-Koordinate;Y-Koordinate;Z-Koordinate;Langname;Übersetzung
9999991;UGDE;12,083201408;50,860665322;;Gera-Debschwitz;
908813;FG  B;;;;Gießen II Pbf/Rb;
908820;FG  R;;;;Gießen Gbf;
114181;FGA;8,745300646;50,540267290;;Garbenteich;
190454;FGAL;8,016040042;49,961432620;;Gau Algesheim;
911065;FH  N;8,929556608;50,121166252;;Hanau Nordseite;
911066;FH  S;8,929095268;50,120137837;;Hanau Südseite;
910126;KKHRW;;;;K Hansar Wendean;
154195;KKIE;6,888352850;50,838197950;;Brühl-Kierberg;
153122;KKL;6,901505621;50,997708150;;Köln-Longerich;
151639;KKLE;6,552149534;51,195643980;;Kleinenbroich;
196220;KKLM;7,668530717;50,738628110;;Kl Marienthal;
150045;KKLV;6,146239742;51,789690960;;Kleve;
155416;KKM;7,013058251;50,957714000;;K-Mülheim;
909584;KKM A;;;;K-Mülheim Ostk;
909586;KKM B;;;;K-Mülheim Westk;
909589;KKM G;;;;K-Mülheim Gbf;
107241;KKMG;;;;Köln-Mülheim Gr;
151050;KKMI;;;;Kaarst M/Holzb;
157321;KKMN;7,016585790;50,976927270;;Berliner Str;
645242;KKMT;6,888156157;50,948419670;;Müngersdf-Tpark;
909592;KKN B;;;;K-Nippes Bez 1;
108041;KKN E;;;;K-Nippes Etzelst;
909593;KKN F;;;;K-Nippes Nf;
911337;KKN G;;;;K-Nippes Bez 4;
909595;KKN P;6,941726449;50,958635120;;Köln-Nippes Pbf;
909598;KKN W;;;;K-Nippes Wendean;
258244;KKNA;6,941749540;50,958703940;;Köln-Nippes Abzw;
107703;TNAI;8,726074597;48,531627100;;Nag-Iselshausen;
894139;TNAS;8,732707455;48,541924550;;Nagold-Steinberg;
291526;TNB;9,620972706;47,830731120;;Niederbiegen;
296418;TND;9,270801287;49,288324420;;Neudenau;
294611;TNE;;;;Neuenbürg(Württ);
695320;TNEB;;;;Neuenb Freibad;
231415;LW;12,661654080;51,867712750;;Lu Wittenberg;
231795;LL;12,382514477;51,346071003;;Leipzig Hbf;
30254;BSPD;13,197190000;52,534580000;;Bln-Spandau;
194001;LFLU;12,223431640;51,423336890;;Fh Leipzig/Halle;
230029;LH;11,985762119;51,477955114;;Halle(Saale) Hbf - Westseite;
106852;LPLN;11,964068413;51,410181870;;Halle-Planena;
160770;UEI;10,332010190;50,976772900;;Eisenach;
110684;FF;8,662607432;50,107225290;;Frankfurt(M) Hbf;
